drug,substance,category,erowid_column,url
Amphetamine,amphetamines,CHEMICALS,MainPage,https://www.erowid.org/chemicals/amphetamines/amphetamines.shtml
Amphetamine,amphetamines,CHEMICALS,Basics,https://www.erowid.org/chemicals/amphetamines/amphetamines_basics.shtml
Amphetamine,amphetamines,CHEMICALS,Law,https://www.erowid.org/chemicals/amphetamines/amphetamines_law.shtml
Amphetamine,amphetamines,CHEMICALS,Effects,https://www.erowid.org/chemicals/amphetamines/amphetamines_effects.shtml
Amphetamine,amphetamines,CHEMICALS,Chemistry,https://www.erowid.org/chemicals/amphetamines/amphetamines_chemistry.shtml
Amphetamine,amphetamines,CHEMICALS,Testing,https://www.erowid.org/chemicals/amphetamines/amphetamines_testing.shtml
Amphetamine,amphetamines,CHEMICALS,Health,https://www.erowid.org/chemicals/amphetamines/amphetamines_health.shtml
Amphetamine,amphetamines,CHEMICALS,History,https://www.erowid.org/chemicals/amphetamines/amphetamines_timeline.php
Amphetamine,amphetamines,CHEMICALS,Journals,https://www.erowid.org/chemicals/amphetamines/amphetamines_journal.shtml
Amphetamine,amphetamines,CHEMICALS,Media,https://www.erowid.org/chemicals/amphetamines/amphetamines_media.shtml
Buprenorphine,buprenorphine,PHARMS,MainPage,https://www.erowid.org/pharms/buprenorphine/buprenorphine.shtml
Buprenorphine,buprenorphine,PHARMS,Law,https://www.erowid.org/pharms/buprenorphine/buprenorphine_law.shtml
Buprenorphine,buprenorphine,PHARMS,Testing,https://www.erowid.org/pharms/buprenorphine/buprenorphine_testing.shtml
Codeine,codeine,PHARMS,MainPage,https://www.erowid.org/pharms/codeine/codeine.shtml
Codeine,codeine,PHARMS,Law,https://www.erowid.org/pharms/codeine/codeine_law.shtml
Codeine,codeine,PHARMS,FAQ,https://www.erowid.org/pharms/codeine/codeine_faq.shtml
Codeine,codeine,PHARMS,Chemistry,https://www.erowid.org/pharms/codeine/codeine_chemistry.shtml
Cyclobenzaprine,cyclobenzaprine,PHARMS,MainPage,https://www.erowid.org/pharms/cyclobenzaprine/cyclobenzaprine.shtml
Cyclobenzaprine,cyclobenzaprine,PHARMS,Law,https://www.erowid.org/pharms/cyclobenzaprine/cyclobenzaprine_law.shtml
Diphenhydramine,diphenhydramine,PHARMS,MainPage,https://www.erowid.org/pharms/diphenhydramine/diphenhydramine.shtml
Diphenhydramine,diphenhydramine,PHARMS,Law,https://www.erowid.org/pharms/diphenhydramine/diphenhydramine_law.shtml
Diphenhydramine,diphenhydramine,PHARMS,Dose,https://www.erowid.org/pharms/diphenhydramine/diphenhydramine_dose.shtml
Diphenhydramine,diphenhydramine,PHARMS,Effects,https://www.erowid.org/pharms/diphenhydramine/diphenhydramine_effects.shtml
Diphenhydramine,diphenhydramine,PHARMS,Testing,https://www.erowid.org/pharms/diphenhydramine/diphenhydramine_testing.shtml
Fentanyl,fentanyl,PHARMS,MainPage,https://www.erowid.org/pharms/fentanyl/fentanyl.shtml
Fentanyl,fentanyl,PHARMS,Law,https://www.erowid.org/pharms/fentanyl/fentanyl_law.shtml
Fentanyl,fentanyl,PHARMS,Dose,https://www.erowid.org/pharms/fentanyl/fentanyl_dose.shtml
Gabapentin,gabapentin,PHARMS,MainPage,https://www.erowid.org/pharms/gabapentin/gabapentin.shtml
Gabapentin,gabapentin,PHARMS,Law,https://www.erowid.org/pharms/gabapentin/gabapentin_law.shtml
Hydrocodone,hydrocodone,PHARMS,MainPage,https://www.erowid.org/pharms/hydrocodone/hydrocodone.shtml
Hydrocodone,hydrocodone,PHARMS,Law,https://www.erowid.org/pharms/hydrocodone/hydrocodone_law.shtml
Hydrocodone,hydrocodone,PHARMS,Dose,https://www.erowid.org/pharms/hydrocodone/hydrocodone_dose.shtml
Hydrocodone,hydrocodone,PHARMS,Effects,https://www.erowid.org/pharms/hydrocodone/hydrocodone_effects.shtml
Hydrocodone,hydrocodone,PHARMS,Chemistry,https://www.erowid.org/pharms/hydrocodone/hydrocodone_chemistry.shtml
Hydrocodone,hydrocodone,PHARMS,Testing,https://www.erowid.org/pharms/hydrocodone/hydrocodone_testing.shtml
Hydrocodone,hydrocodone,PHARMS,Health,https://www.erowid.org/pharms/hydrocodone/hydrocodone_health.shtml
Hydromorphone,hydromorphone,PHARMS,MainPage,https://www.erowid.org/pharms/hydromorphone/hydromorphone.shtml
